Host ID,Datacenter ID,CPU Usage Mean,Power Consumption Mean
0,1,0.077640,100.698758
1,1,0.141884,101.276958
2,1,0.207469,101.867220
3,1,0.143843,101.294591
4,1,0.211149,101.900338
5,1,0.082372,100.741351
6,1,0.214286,101.928571
7,1,0.147798,101.330180
8,1,0.148898,101.340083
9,1,0.216826,101.951431
10,1,0.149835,101.348517
11,1,0.150830,101.357466
12,1,0.085970,100.773728
13,1,0.086625,100.779626
14,1,0.152300,101.370698
15,1,0.220135,101.981215
16,1,0.153233,101.379099
17,1,0.153139,101.378254
18,1,0.220264,101.982379
19,1,0.221435,101.992914
20,1,0.087108,100.783972
21,1,0.087108,100.783972
22,1,0.152439,101.371951
23,1,0.087230,100.785066
24,1,0.220588,101.985294
25,1,0.153374,101.380368
26,1,0.152905,101.376147
27,1,0.153563,101.382064
28,1,0.153704,101.383338
29,1,0.220394,101.983544
30,1,0.153704,101.383338
31,1,0.222420,102.001779
32,1,0.222750,102.004752
33,1,0.086237,100.776130
34,1,0.086177,100.775595
35,1,0.152579,101.373207
36,1,0.152207,101.369863
37,1,0.152532,101.372788
38,1,0.152672,101.374046
39,1,0.219042,101.971379
40,1,0.152718,101.374465
41,1,0.220523,101.984710
42,1,0.084317,100.758853
43,1,0.221828,101.996451
44,1,0.085150,100.766349
45,1,0.221239,101.991150
46,1,0.085063,100.765567
47,1,0.150240,101.352163
48,1,0.149790,101.348113
49,1,0.084517,100.760649
50,1,0.217897,101.961069
51,1,0.150784,101.357057
52,1,0.085383,100.768443
53,1,0.085616,100.770548
54,1,0.219298,101.973684
55,1,0.151607,101.364463
56,1,0.152393,101.371533
57,1,0.085558,100.770021
58,1,0.220718,101.986463
59,1,0.152253,101.370280
60,1,0.152672,101.374046
61,1,0.086118,100.775060
62,1,0.086595,100.779356
63,1,0.219042,101.971379
64,1,0.153610,101.382488
65,1,0.221304,101.991738
66,1,0.154464,101.390176
67,1,0.086059,100.774527
68,1,0.221828,101.996451
69,1,0.222091,101.998816
70,1,0.223214,102.008929
71,1,0.222750,102.004752
72,1,0.222618,102.003562
73,1,0.221500,101.993503
74,1,0.084517,100.760649
75,1,0.084602,100.761421
76,1,0.219170,101.972531
77,1,0.150739,101.356648
78,1,0.217454,101.957089
79,1,0.218150,101.963351
80,1,0.151699,101.365291
81,1,0.084517,100.760649
82,1,0.219748,101.977732
83,1,0.084947,100.764526
84,1,0.153046,101.377410
85,1,0.220718,101.986463
86,1,0.085005,100.765046
87,1,0.220913,101.988218
88,1,0.221304,101.991738
89,1,0.084890,100.764007
90,1,0.084602,100.761421
91,1,0.220070,101.980634
92,1,0.083893,100.755034
93,1,0.083696,100.753264
94,1,0.151423,101.362810
95,1,0.219170,101.972531
96,1,0.082183,100.739645
97,1,0.218850,101.969653
98,1,0.151607,101.364463
99,1,0.219619,101.976574
0,2,0.075804,100.682232
1,2,0.139198,101.252784
2,2,0.205705,101.851344
3,2,0.078444,100.705993
4,2,0.142328,101.280956
5,2,0.144259,101.298327
6,2,0.210615,101.895535
7,2,0.145900,101.313102
8,2,0.147493,101.327434
9,2,0.148810,101.339286
10,2,0.082617,100.743556
11,2,0.149835,101.348517
12,2,0.083001,100.747012
13,2,0.216826,101.951431
14,2,0.217770,101.959930
15,2,0.218404,101.965638
16,2,0.084374,100.759366
17,2,0.216575,101.949177
18,2,0.148544,101.336898
19,2,0.084459,100.760135
20,2,0.149432,101.344889
21,2,0.083977,100.755794
22,2,0.149656,101.346902
23,2,0.149970,101.349730
24,2,0.215765,101.941887
25,2,0.217897,101.961069
26,2,0.152300,101.370698
27,2,0.219427,101.974839
28,2,0.220200,101.981797
29,2,0.221108,101.989976
30,2,0.082699,100.744294
31,2,0.219042,101.971379
32,2,0.082590,100.743310
33,2,0.082699,100.744294
34,2,0.148500,101.336501
35,2,0.082617,100.743556
36,2,0.214102,101.926920
37,2,0.082864,100.745774
38,2,0.215517,101.939655
39,2,0.216513,101.948614
40,2,0.216638,101.949740
41,2,0.084232,100.758086
42,2,0.148368,101.335312
43,2,0.148987,101.340882
44,2,0.149745,101.347709
45,2,0.085208,100.766871
46,2,0.085353,100.768180
47,2,0.150557,101.355014
48,2,0.217517,101.957657
49,2,0.085412,100.768705
50,2,0.150602,101.355422
51,2,0.151791,101.366120
52,2,0.218850,101.969653
53,2,0.153046,101.377410
54,2,0.153139,101.378254
55,2,0.084890,100.764007
56,2,0.152812,101.375306
57,2,0.220200,101.981797
58,2,0.084431,100.759878
59,2,0.084660,100.761937
60,2,0.219812,101.978312
61,2,0.085616,100.770548
62,2,0.219619,101.976574
63,2,0.219106,101.971954
64,2,0.218914,101.970228
65,2,0.085793,100.772135
66,2,0.148017,101.332149
67,2,0.086475,100.778277
68,2,0.148368,101.335312
69,2,0.148588,101.337296
70,2,0.086505,100.778547
71,2,0.086535,100.778816
72,2,0.150195,101.351757
73,2,0.151699,101.365291
74,2,0.218468,101.966210
75,2,0.087873,100.790861
76,2,0.220200,101.981797
77,2,0.154991,101.394916
78,2,0.154991,101.394916
79,2,0.221893,101.997041
80,2,0.222222,102.000000
81,2,0.223081,102.007733
82,2,0.154273,101.388460
83,2,0.086775,100.780979
84,2,0.153046,101.377410
85,2,0.152905,101.376147
86,2,0.085412,100.768705
87,2,0.151607,101.364463
88,2,0.218404,101.965638
89,2,0.083724,100.753516
90,2,0.151883,101.366950
91,2,0.219941,101.979472
92,2,0.082781,100.745033
93,2,0.219877,101.978892
94,2,0.081806,100.736257
95,2,0.151286,101.361573
96,2,0.219298,101.973684
97,2,0.080541,100.724871
98,2,0.149656,101.346902
99,2,0.149522,101.345694
0,3,0.072317,100.650853
1,3,0.073035,100.657318
2,3,0.133262,101.199360
3,3,0.134698,101.212284
4,3,0.076034,100.684307
5,3,0.139782,101.258037
6,3,0.202265,101.820388
7,3,0.203915,101.835237
8,3,0.207125,101.864126
9,3,0.143678,101.293103
10,3,0.208623,101.877608
11,3,0.144425,101.299827
12,3,0.080128,100.721154
13,3,0.145603,101.310425
14,3,0.209790,101.888112
15,3,0.145858,101.312719
16,3,0.079821,100.718391
17,3,0.211030,101.899268
18,3,0.080749,100.726744
19,3,0.211506,101.903553
20,3,0.210793,101.897133
21,3,0.209556,101.886002
22,3,0.209380,101.884422
23,3,0.142980,101.286817
24,3,0.080880,100.727920
25,3,0.081833,100.736498
26,3,0.082237,100.740132
27,3,0.207011,101.863097
28,3,0.143678,101.293103
29,3,0.082727,100.744540
30,3,0.144802,101.303215
31,3,0.207929,101.871361
32,3,0.145773,101.311953
33,3,0.209147,101.882320
34,3,0.147493,101.327434
35,3,0.210556,101.895003
36,3,0.147449,101.327042
37,3,0.148456,101.336105
38,3,0.212404,101.911640
39,3,0.212947,101.916525
40,3,0.214286,101.928571
41,3,0.214777,101.932990
42,3,0.214286,101.928571
43,3,0.080985,100.728863
44,3,0.212645,101.913808
45,3,0.143926,101.295337
46,3,0.080231,100.722080
47,3,0.142531,101.282782
48,3,0.142939,101.286449
49,3,0.080128,100.721154
50,3,0.208565,101.877086
51,3,0.145391,101.308520
52,3,0.207871,101.870843
53,3,0.209205,101.882845
54,3,0.210674,101.896067
55,3,0.082345,100.741107
56,3,0.082264,100.740375
57,3,0.209147,101.882320
58,3,0.144175,101.297578
59,3,0.082345,100.741107
60,3,0.144634,101.301707
61,3,0.082617,100.743556
62,3,0.145730,101.311571
63,3,0.209088,101.881795
64,3,0.211089,101.899803
65,3,0.147842,101.330574
66,3,0.212284,101.910558
67,3,0.212826,101.915437
68,3,0.213858,101.924722
69,3,0.214225,101.928021
70,3,0.212766,101.914894
71,3,0.145815,101.312336
72,3,0.080567,100.725105
73,3,0.209147,101.882320
74,3,0.208914,101.880223
75,3,0.210320,101.892877
76,3,0.211149,101.900338
77,3,0.079796,100.718162
78,3,0.211089,101.899803
79,3,0.211506,101.903553
80,3,0.210320,101.892877
81,3,0.143968,101.295710
82,3,0.143926,101.295337
83,3,0.208333,101.875000
84,3,0.208681,101.878130
85,3,0.209673,101.887056
86,3,0.079064,100.711575
87,3,0.079039,100.711350
88,3,0.209614,101.886529
89,3,0.078989,100.710900
90,3,0.209790,101.888112
91,3,0.210143,101.891286
92,3,0.078567,100.707102
93,3,0.143102,101.287922
94,3,0.143062,101.287554
95,3,0.208565,101.877086
96,3,0.143308,101.289768
97,3,0.075850,100.682646
98,3,0.075415,100.678733
99,3,0.142735,101.284613
