Task ID,VM ID,Host ID,Datacenter ID,Closest Datacenter,Arrival Time,Start Time,Finish Time,Deadline,Failed Count,Failed
1,0,0,1,1,0.000000,0.100000,20.110000,31.000000,0,0
2,3,1,1,1,0.252693,20.000000,30.116000,47.252693,0,0
3,6,2,1,3,0.418285,20.000000,26.777111,35.418285,0,1
4,9,3,1,1,0.522839,20.000000,30.116000,38.522839,0,0
5,12,4,1,3,0.525599,20.000000,26.777111,38.525599,0,1
6,15,5,1,2,0.709654,20.000000,40.144889,40.709654,0,1
7,18,6,1,2,1.455749,20.000000,26.777111,43.455749,0,1
8,21,7,1,1,4.323139,20.000000,30.116000,39.323139,0,0
9,24,8,1,1,4.877653,20.000000,30.116000,39.877653,0,0
10,27,9,1,1,5.664379,20.000000,26.777111,46.664379,0,0
11,30,10,1,1,5.900201,20.000000,30.116000,48.900201,0,0
12,33,11,1,1,6.644347,20.000000,30.116000,31.644347,0,0
13,36,12,1,3,7.050783,20.000000,40.144889,34.050783,0,1
14,39,13,1,3,7.488286,20.000000,40.144889,54.488286,0,1
15,42,14,1,2,7.577319,20.000000,30.116000,33.577319,0,1
16,45,15,1,2,7.718114,20.000000,26.777111,32.718114,0,1
17,48,16,1,3,7.826232,20.000000,30.116000,41.826232,0,1
18,51,17,1,1,8.635997,20.000000,30.116000,43.635997,0,0
19,54,18,1,1,11.992458,20.000000,26.777111,56.992458,0,0
20,57,19,1,1,13.968231,20.000000,26.777111,46.968231,0,0
21,60,20,1,1,14.538810,20.000000,40.144889,51.538810,0,0
22,63,21,1,3,16.552768,20.110000,40.254889,56.552768,0,1
23,66,22,1,3,17.223454,20.110000,30.226000,46.223454,0,1
24,69,23,1,3,18.138853,20.110000,40.254889,66.138853,0,0
25,72,24,1,3,21.531199,26.447111,33.117556,48.531199,0,1
26,75,25,1,2,21.618417,26.447111,36.569333,63.618417,0,0
27,78,26,1,1,21.669080,26.447111,36.569333,48.669080,0,0
28,81,27,1,3,23.491985,26.447111,36.569333,57.491985,0,0
29,84,28,1,3,23.789497,26.447111,36.569333,72.789497,0,0
30,87,29,1,3,23.859466,26.447111,33.117556,65.859466,0,0
31,90,30,1,2,24.766796,26.447111,36.569333,50.766796,0,1
32,93,31,1,1,25.124365,26.667111,33.337556,58.124365,0,0
33,96,32,1,1,25.477115,26.667111,33.337556,59.477115,0,0
34,99,33,1,1,26.218451,26.667111,46.825556,56.218451,0,0
35,102,34,1,3,26.474141,26.777111,46.935556,71.474141,0,0
36,105,35,1,3,27.784600,29.394667,39.451556,62.784600,0,0
37,108,36,1,1,30.166814,30.336000,40.364889,77.166814,0,0
38,111,37,1,1,30.322825,31.447111,41.576000,74.322825,0,0
39,114,38,1,1,30.409453,31.667111,41.796000,72.409453,0,0
40,117,39,1,1,31.469414,32.449778,39.231556,67.469414,0,0
41,120,40,1,2,32.401239,32.667556,42.688000,81.401239,0,0
42,123,41,1,3,36.928488,37.836000,44.618667,85.928488,0,0
43,126,42,1,3,37.383357,37.836000,57.968667,76.383357,0,1
44,129,43,1,2,39.097394,39.121778,45.838889,68.097394,0,0
45,132,44,1,1,39.747279,40.034889,60.176222,83.747279,0,0
46,135,45,1,3,40.605753,41.466000,48.202444,88.605753,0,0
47,138,46,1,2,41.338529,41.576000,61.638000,73.338529,0,1
48,141,47,1,1,42.547406,42.798000,52.826000,77.547406,0,0
49,144,48,1,3,44.402956,44.509333,54.633333,73.402956,0,1
50,147,49,1,1,44.675424,45.066222,65.139333,79.675424,0,0
51,150,50,1,2,45.263250,45.838889,52.606000,78.263250,0,0
52,153,51,1,1,46.158104,46.715556,56.803333,90.158104,0,0
53,156,52,1,1,46.427393,46.715556,66.812667,91.427393,0,0
54,159,53,1,3,50.545384,51.669333,71.819333,83.545384,0,1
55,162,54,1,1,51.456424,51.839111,58.542444,96.456424,0,0
56,165,55,1,3,51.851139,52.009333,62.028000,80.851139,0,1
57,168,56,1,1,52.855353,53.586667,63.603778,89.855353,0,0
58,171,57,1,1,53.839263,54.215556,74.252667,101.839263,0,0
59,174,58,1,2,55.766261,56.576000,63.328444,80.766261,0,1
60,177,59,1,3,55.770178,56.576000,66.592667,83.770178,0,1
61,180,60,1,3,59.106440,59.509333,69.633333,95.106440,0,0
62,183,61,1,1,59.760552,60.076000,80.116000,98.760552,0,0
63,186,62,1,2,60.797690,61.328000,81.438000,107.797690,0,0
64,189,63,1,2,67.904405,68.923333,75.627778,108.904405,0,0
65,192,64,1,3,68.522904,68.923333,79.033333,101.522904,0,0
66,195,65,1,2,70.263821,71.709333,78.490444,109.263821,0,0
67,198,66,1,1,70.831357,71.709333,81.728667,101.831357,0,0
68,201,67,1,2,71.044282,71.819333,91.938000,113.044282,0,0
69,204,68,1,1,71.485193,71.819333,78.600444,108.485193,0,0
70,207,69,1,1,72.319163,73.923333,80.705556,117.319163,0,0
71,210,70,1,1,75.649501,76.328000,83.112222,110.649501,0,0
72,213,71,1,3,76.146931,76.423333,83.112222,105.146931,0,0
73,216,72,1,3,76.515360,76.819333,83.600444,103.515360,0,1
74,219,73,1,2,78.353274,78.490444,85.274000,123.353274,0,0
75,222,74,1,3,78.450460,78.600444,98.760667,108.450460,0,1
76,225,75,1,2,79.437833,80.116000,100.277111,106.437833,0,1
77,228,76,1,1,82.138781,82.839111,89.605778,124.138781,0,0
78,231,77,1,2,82.539490,83.002222,93.080667,109.539490,0,1
79,234,78,1,2,82.562017,83.002222,89.715778,123.562017,0,0
80,237,79,1,3,82.847200,83.112222,89.825778,113.847200,0,0
81,240,80,1,3,85.098835,85.274000,95.336000,131.098835,0,0
82,243,81,1,3,85.884495,87.839111,107.964667,125.884495,0,1
83,246,82,1,3,87.292741,88.002222,94.710444,133.292741,0,0
84,249,83,1,1,88.231406,88.689778,108.775333,127.231406,0,0
85,252,84,1,2,88.858261,89.124889,99.144667,118.858261,0,1
86,255,85,1,1,88.941707,89.124889,95.907556,132.941707,0,0
87,258,86,1,2,90.273085,90.928000,111.017556,118.273085,0,1
88,261,87,1,1,91.168584,91.504000,98.263333,117.168584,0,0
89,264,88,1,3,91.328502,91.504000,98.263333,137.328502,0,0
90,267,89,1,1,92.428077,92.970667,113.129333,140.428077,0,0
91,270,90,1,1,94.082620,94.483111,114.643333,121.082620,0,0
92,273,91,1,3,94.244645,94.600444,101.383778,132.244645,0,0
93,276,92,1,1,95.441070,95.797556,115.863333,122.441070,0,0
