Tick,Power,Failed
15,102.250000,0
20,102.250000,0
25,135.250000,0
26,135.062500,0
27,135.842857,4
29,133.086607,4
30,130.520536,4
31,122.593867,7
32,120.779662,7
33,119.318428,8
35,116.327364,8
36,115.200027,8
37,112.830480,9
38,112.343234,9
39,111.154620,9
40,110.162318,9
41,107.071920,13
42,106.080083,13
43,105.821216,13
44,105.546000,13
45,105.060693,13
46,104.827845,13
47,104.537027,13
48,104.430323,13
50,104.157031,13
51,104.003321,13
52,103.966757,13
53,103.574514,13
54,103.527139,13
55,103.340951,14
56,103.265175,14
57,103.228764,14
58,103.130580,15
59,103.006147,15
60,102.985413,15
61,102.919764,15
62,102.807269,17
63,102.757216,17
64,102.615858,18
65,102.549853,18
66,102.486733,18
67,102.386897,19
68,102.367559,19
69,102.404885,19
70,102.315532,19
71,102.298353,19
73,102.376523,20
74,102.385959,20
75,102.354044,20
76,102.263387,20
77,102.339085,20
78,102.297946,20
79,102.244352,20
80,102.206843,20
81,102.135003,20
82,102.077803,20
83,102.089360,20
84,102.101918,21
85,102.080638,21
86,102.070521,21
87,102.060203,21
88,102.060512,21
89,102.052888,21
90,102.037667,21
91,102.028886,21
92,102.042229,21
93,102.024667,21
94,101.999763,22
95,101.987159,22
96,101.957054,22
97,101.951266,22
98,101.928385,22
99,101.917774,24
100,101.888109,24
101,101.884431,25
102,101.879615,25
103,101.872594,25
104,101.876330,25
105,101.836265,25
106,101.816689,25
107,101.784763,26
108,101.765835,27
109,101.734928,27
110,101.716786,27
111,121.099434,28
112,122.212673,28
113,121.641506,28
114,121.228387,28
115,117.576893,28
116,116.803808,28
117,114.633272,28
118,112.498479,28
119,112.405154,29
120,108.678872,30
121,106.909965,31
122,106.272975,31
123,105.689082,31
124,105.357359,31
125,104.444018,31
126,103.375246,31
127,103.273135,31
128,103.273135,31
129,103.239500,31
130,103.132765,31
131,102.849193,31
132,102.491423,31
133,102.363385,31
134,102.211424,31
135,102.097449,31
137,102.046912,32
138,102.018505,32
139,101.937219,33
140,101.972392,34
141,101.902653,34
142,101.898857,34
143,101.893890,35
144,101.863898,35
145,101.827798,35
146,101.818610,35
147,101.825021,35
148,101.817351,35
149,101.848467,35
150,101.799893,36
151,101.787111,37
152,101.755584,38
153,101.726302,38
154,101.717147,39
155,101.690105,39
156,101.669380,39
157,101.649461,39
158,101.625533,39
159,101.594794,40
160,101.598322,40
161,101.593917,40
162,101.586296,40
163,101.608357,40
164,101.601281,41
165,101.597304,41
166,101.600636,41
167,101.601066,41
168,101.622622,41
169,101.641687,41
170,101.623699,42
172,101.616585,42
173,101.613082,42
174,101.648269,42
175,101.650971,42
176,101.638044,42
177,101.629486,42
178,101.619839,42
179,101.622031,42
180,101.607000,42
181,101.594202,43
182,101.594356,44
183,101.585830,44
184,101.575555,44
185,101.564489,44
186,101.569448,44
187,101.558971,44
188,101.543709,46
190,101.537031,46
191,101.568867,46
192,101.563877,46
193,101.558515,46
194,101.556095,46
195,101.551307,46
196,101.537210,46
197,101.525805,46
198,101.514530,47
199,101.503475,48
200,101.501300,48
201,101.490611,48
202,101.486351,48
203,101.480019,49
204,101.471729,50
205,109.978423,50
206,109.977070,50
207,109.602070,50
208,108.399390,50
209,108.120903,50
210,106.551537,50
211,106.306562,51
212,106.199698,51
213,104.811835,52
214,104.726458,53
215,104.696622,53
216,103.568215,54
217,103.468098,54
218,103.197996,55
219,102.533223,55
220,102.228223,55
221,102.063565,55
222,101.930888,55
223,101.897183,55
224,101.830690,56
227,101.808929,56
228,101.793972,56
229,101.828154,56
230,101.745319,57
231,101.742876,57
232,101.734230,57
233,101.742162,57
234,101.701284,58
235,101.714155,58
236,101.709044,58
237,101.685458,58
238,101.684345,58
239,101.649180,58
240,101.636086,58
241,101.662656,58
242,101.630152,58
243,101.626809,58
244,101.614437,58
245,101.593490,58
246,101.580337,58
247,101.574661,58
248,101.545360,58
249,101.527942,61
250,101.520365,61
251,101.505656,61
254,101.503903,61
255,101.500404,61
256,101.500404,61
257,101.507321,62
258,101.516029,62
259,101.518126,62
260,101.526707,62
261,101.521245,62
262,101.512162,62
263,101.504107,63
264,101.500816,63
265,101.492499,64
266,101.481763,64
267,101.478168,64
268,101.473968,65
269,101.471486,65
270,101.483149,65
271,101.497384,66
272,101.497714,66
274,101.495449,66
275,101.503325,66
276,101.488640,66
277,101.476470,67
278,101.462484,67
279,101.467041,67
280,101.453631,67
281,101.440614,67
282,101.438723,67
283,101.433105,67
284,101.431256,67
285,101.437345,67
286,101.445738,67
287,101.443928,67
290,101.440320,67
291,101.452128,67
292,101.445135,67
294,101.441637,67
295,101.438944,67
296,101.437235,67
297,101.446939,67
299,101.449225,68
301,101.447551,68
302,101.475504,68
303,101.469033,68
304,101.468897,68
306,101.477956,69
307,101.476413,69
308,101.481697,69
309,101.474132,69
310,101.473313,69
311,101.468910,69
312,101.461574,69
314,101.460118,69
315,101.461360,69
316,101.455767,69
317,101.452982,69
318,101.443424,69
320,101.440730,69
321,101.462032,69
322,101.457876,69
323,101.468967,70
324,101.462471,71
325,101.462284,72
326,101.457914,72
327,101.452299,72
328,101.440023,72
329,101.437113,72
330,101.443790,72
331,101.447256,72
332,101.450422,72
333,101.441066,73
334,101.434758,73
335,101.424107,73
336,101.425121,73
337,101.421182,73
338,101.415928,73
339,101.420721,73
340,101.418291,73
343,101.429444,73
344,101.444533,73
345,101.437465,74
346,101.432640,74
347,101.432942,74
348,101.428200,74
349,101.430031,75
350,101.438494,77
351,101.438053,77
352,101.435423,78
353,101.433107,78
354,101.435822,78
355,101.426922,78
356,101.431737,78
357,101.428633,79
358,101.423138,79
359,101.417585,79
360,101.413115,79
361,101.415208,79
362,101.413028,79
363,101.410849,79
365,101.405448,79
366,101.405017,79
