Host ID,Datacenter ID,CPU Usage Mean,Power Consumption Mean
0,1,1.472754,104.546586
1,1,1.233819,103.808961
2,1,0.863821,102.666730
3,1,0.512896,101.583376
4,1,0.132533,100.409148
5,1,0.090744,100.280139
6,1,0.080871,100.249660
7,1,0.021570,100.066590
8,1,0.021589,100.066648
9,1,0.010661,100.032912
10,1,0.031847,100.098316
11,1,0.010886,100.033607
12,1,0.005351,100.016519
13,1,0.010755,100.033202
14,1,0.010604,100.032737
15,1,0.021445,100.066205
16,1,0.021561,100.066562
17,1,0.048190,100.148769
18,1,0.032017,100.098841
19,1,0.031990,100.098757
20,1,0.048118,100.148547
21,1,0.010762,100.033224
22,1,0.010825,100.033418
23,1,0.010632,100.032821
24,1,0.005369,100.016576
25,1,0.015886,100.049044
26,1,0.010659,100.032905
27,1,0.005334,100.016466
28,1,0.021547,100.066519
29,1,0.048067,100.148388
30,1,0.032314,100.099757
31,1,0.021390,100.066035
32,1,0.010825,100.033418
33,1,0.005394,100.016651
34,1,0.010668,100.032933
35,1,0.010679,100.032968
36,1,0.015968,100.049294
37,1,0.010684,100.032982
38,1,0.005387,100.016630
39,1,0.015927,100.049169
40,1,0.755337,102.331824
41,1,0.598982,101.849135
42,1,0.214805,100.875752
43,1,0.542211,101.673876
44,1,0.205662,100.634905
45,1,0.028351,100.091308
46,1,0.010919,100.036662
47,1,0.015900,100.049085
48,1,0.010661,100.032912
49,1,0.010652,100.032884
50,1,0.015897,100.049075
51,1,0.015890,100.049054
52,1,0.005311,100.016396
53,1,0.010641,100.032849
54,1,0.015913,100.049127
55,1,0.015910,100.049116
56,1,0.015930,100.049179
57,1,0.015934,100.049189
58,1,0.010645,100.032863
59,1,0.010650,100.032877
60,1,0.015903,100.049096
61,1,0.005344,100.016498
62,1,0.015897,100.049075
63,1,0.005342,100.016491
64,1,0.005345,100.016502
65,1,0.010647,100.032870
66,1,0.010663,100.032919
67,1,0.005357,100.016537
68,1,0.015890,100.049054
69,1,0.005345,100.016502
70,1,0.015886,100.051169
71,1,0.010613,100.034185
72,1,0.005374,100.017309
73,1,0.010616,100.034192
74,1,0.005394,100.017373
75,1,0.010672,100.034375
76,1,0.010695,100.034448
77,1,0.015897,100.051202
78,1,0.010629,100.034236
79,1,0.010638,100.034265
80,1,0.005327,100.017158
81,1,0.015930,100.051310
82,1,0.015903,100.051223
83,1,0.015907,100.051234
84,1,0.015913,100.051256
85,1,0.015947,100.051365
86,1,0.015947,100.053554
87,1,0.010693,100.035909
88,1,0.010641,100.035733
89,1,0.010661,100.035802
90,1,0.005366,100.018020
91,1,0.005335,100.017916
92,1,0.015917,100.053452
93,1,0.015924,100.053475
94,1,0.010659,100.035794
95,1,0.005365,100.046852
96,1,0.015886,100.053350
97,1,0.010666,100.035817
98,1,0.010670,100.035832
99,1,0.015897,100.053384
0,2,0.499144,101.540924
1,2,0.544085,101.903832
2,2,2.365531,107.302705
3,2,0.361088,101.163179
4,2,0.572351,101.766923
5,2,0.380125,101.173496
6,2,0.240732,100.743171
7,2,0.086655,100.267516
8,2,0.010179,100.031424
9,2,0.010190,100.031456
10,2,0.005109,100.015773
11,2,0.020521,100.063352
12,2,0.030426,100.093929
13,2,0.010350,100.033338
14,2,0.020437,100.063093
15,2,0.010382,100.032051
16,2,0.030407,100.093872
17,2,0.030513,100.094196
18,2,0.010181,100.031431
19,2,0.015170,100.046831
20,2,0.015173,100.046841
21,2,0.010265,100.031689
22,2,0.005099,100.015741
23,2,0.015213,100.046964
24,2,0.015176,100.046850
25,2,0.010307,100.031820
26,2,0.020371,100.062887
27,2,0.030420,100.093910
28,2,0.020342,100.062798
29,2,0.010144,100.031316
30,2,0.010158,100.031361
31,2,0.015152,100.046775
32,2,0.030519,100.094216
33,2,0.010445,100.032245
34,2,0.031153,100.096172
35,2,0.045946,100.141843
36,2,0.031198,100.096312
37,2,0.045778,100.141323
38,2,0.030426,100.093929
39,2,0.015191,100.046898
40,2,2.027586,106.259425
41,2,1.494421,104.613474
42,2,0.965586,102.980890
43,2,0.162659,100.577419
44,2,0.207182,100.639599
45,2,0.037417,100.115512
46,2,0.010128,100.031265
47,2,0.010156,100.031354
48,2,0.005094,100.015947
49,2,0.015167,100.046822
50,2,0.010190,100.031456
51,2,0.005058,100.015614
52,2,0.015176,100.046850
53,2,0.005083,100.018525
54,2,0.005095,100.015728
55,2,0.010132,100.031278
56,2,0.005109,100.015773
57,2,0.015152,100.046775
58,2,0.010150,100.031335
59,2,0.005108,100.015770
60,2,0.010132,100.031278
61,2,0.005097,100.015735
62,2,0.010146,100.031322
63,2,0.010158,100.031361
64,2,0.015158,100.046794
65,2,0.010165,100.031380
66,2,0.005118,100.015799
67,2,0.010144,100.031316
68,2,0.015158,100.046794
69,2,0.005102,100.015751
70,2,0.010148,100.032686
71,2,0.015133,100.048743
72,2,0.005105,100.016443
73,2,0.015155,100.048812
74,2,0.015161,100.048832
75,2,0.015164,100.048841
76,2,0.015139,100.048763
77,2,0.005074,100.016343
78,2,0.010093,100.032508
79,2,0.015148,100.048792
80,2,0.015164,100.048841
81,2,0.015158,100.048822
82,2,0.015167,100.048851
83,2,0.005098,100.016420
84,2,0.005065,100.016313
85,2,0.005083,100.016373
86,2,0.005091,100.017095
87,2,0.010130,100.034018
88,2,0.010136,100.034038
89,2,0.005093,100.017102
90,2,0.005096,100.017113
91,2,0.005074,100.017040
92,2,0.005114,100.017172
93,2,0.005110,100.017162
94,2,0.015185,100.050995
95,2,0.015185,100.050995
96,2,0.005107,100.017151
97,2,0.010119,100.033983
98,2,0.015170,100.050944
99,2,0.015142,100.050851
0,3,0.637255,102.052661
1,3,1.105912,103.414097
2,3,1.012373,103.125330
3,3,1.435697,104.432185
4,3,0.306691,100.950716
5,3,0.270828,100.836082
6,3,0.069217,100.213683
7,3,0.016487,100.050898
8,3,0.016036,100.049505
9,3,0.016043,100.049526
10,3,0.016036,100.049505
11,3,0.005351,100.016519
12,3,0.010858,100.033519
13,3,0.015998,100.049389
14,3,0.021487,100.066333
15,3,0.010910,100.033680
16,3,0.010837,100.033454
17,3,0.032134,100.099201
18,3,0.010977,100.035357
19,3,0.032210,100.099435
20,3,0.010903,100.033658
21,3,0.016070,100.049611
22,3,0.005409,100.016698
23,3,0.016026,100.049473
24,3,0.010743,100.033166
25,3,0.016029,100.049484
26,3,0.005400,100.016669
27,3,0.016019,100.049452
28,3,0.010723,100.033102
29,3,0.032154,100.099265
30,3,0.032210,100.099435
31,3,0.021584,100.066634
32,3,0.010967,100.035323
33,3,0.021589,100.066648
34,3,0.032203,100.099414
35,3,0.021580,100.066619
36,3,0.010837,100.033454
37,3,0.016022,100.049463
38,3,0.005396,100.016658
39,3,0.010675,100.032954
40,3,0.235507,100.863923
41,3,0.211291,101.070349
42,3,1.026876,103.170102
43,3,0.311907,100.962897
44,3,0.457854,101.413455
45,3,0.272975,100.842711
46,3,0.067249,100.207608
47,3,0.005414,100.016712
48,3,0.005410,100.016702
49,3,0.016019,100.049452
50,3,0.005375,100.016594
51,3,0.005383,100.019186
52,3,0.010714,100.033074
53,3,0.016032,100.049494
54,3,0.016046,100.049537
55,3,0.016077,100.049632
56,3,0.005410,100.016702
57,3,0.016005,100.049410
58,3,0.016022,100.049463
59,3,0.005364,100.016558
60,3,0.015995,100.049378
