Task ID,VM ID,Host ID,Datacenter ID,Closest Datacenter,Arrival Time,Start Time,Finish Time,Deadline,Failed Count,Failed
1,2,0,3,3,0.000000,0.100000,20.220000,35.000000,0,0
2,0,0,1,1,0.235079,20.000000,40.059333,37.235079,0,1
3,1,0,2,2,2.029972,20.000000,60.044000,44.029972,0,1
4,0,0,1,1,2.080356,20.000000,40.059333,36.080356,0,1
5,1,0,2,2,2.684691,20.000000,60.044000,30.684691,0,1
6,3,1,1,1,3.128213,20.000000,40.059333,31.128213,0,1
7,3,1,1,1,4.896286,20.000000,40.059333,39.896286,0,1
8,4,1,2,2,6.541014,20.000000,60.044000,42.541014,0,1
9,6,2,1,1,6.590057,20.000000,40.059333,36.590057,0,1
10,2,0,3,3,8.198179,20.000000,40.168000,35.198179,0,1
11,6,2,1,1,8.712006,20.000000,40.059333,36.712006,0,1
12,4,1,2,2,9.811614,20.000000,60.044000,53.811614,0,1
13,7,2,2,2,11.589122,20.000000,33.333333,46.589122,0,0
14,7,2,2,2,11.647500,20.000000,33.333333,46.647500,0,0
15,9,3,1,1,12.325320,20.000000,40.059333,47.325320,0,0
16,9,3,1,1,12.383480,20.000000,40.059333,49.383480,0,0
17,5,1,3,3,12.568751,20.000000,32.610000,38.568751,0,0
18,12,4,1,1,13.224876,20.000000,60.061333,58.224876,0,1
19,10,3,2,2,14.455868,20.000000,55.082667,41.455868,0,1
20,12,4,1,1,15.510613,20.110000,60.171333,43.510613,0,1
21,15,5,1,1,18.204118,20.110000,30.834000,50.204118,0,0
22,10,3,2,2,21.666867,27.500000,61.427333,57.666867,0,1
23,5,1,3,3,22.287221,27.500000,40.168000,53.287221,0,0
24,8,2,3,3,22.422374,27.500000,47.513333,59.422374,0,0
25,8,2,3,3,22.976266,27.500000,47.513333,71.976266,0,0
26,13,4,2,2,25.521014,27.610000,41.888667,55.521014,0,0
27,11,3,3,3,25.979091,27.610000,41.059333,60.979091,0,0
28,11,3,3,3,26.312247,27.610000,41.059333,66.312247,0,0
29,15,5,1,1,27.500223,29.500667,40.279333,53.500223,0,0
30,18,6,1,1,31.414491,32.002667,38.779333,66.414491,0,0
31,21,7,1,1,32.208807,32.506667,52.530000,71.208807,0,0
32,21,7,1,1,32.807447,33.443333,53.108667,77.807447,0,0
33,13,4,2,2,33.195457,33.443333,47.719333,58.195457,0,0
34,24,8,1,1,33.385123,35.000000,55.026000,62.385123,0,0
35,24,8,1,1,33.611937,35.110000,55.136000,82.611937,0,0
36,27,9,1,1,33.844549,35.110000,51.618000,58.844549,0,0
37,16,5,2,2,34.666490,35.110000,53.064000,76.666490,0,0
38,14,4,3,3,35.274586,37.002667,77.168667,66.274586,0,1
39,16,5,2,2,37.163446,38.560000,55.820667,62.163446,0,0
40,14,4,3,3,37.216054,38.669333,77.950667,64.216054,0,1
41,27,9,1,1,37.646300,38.669333,55.246000,63.646300,0,0
42,17,5,3,3,38.313710,38.669333,56.723333,63.313710,0,0
43,19,6,2,2,38.909245,39.121333,59.208667,87.909245,0,0
44,19,6,2,2,40.139501,40.169333,59.723333,82.139501,0,0
45,17,5,3,3,40.306803,40.671111,58.703333,68.306803,0,0
46,20,6,3,3,41.062175,41.613333,76.035333,78.062175,0,0
47,30,10,1,1,42.012109,42.610000,49.327556,81.012109,0,0
48,33,11,1,1,42.724680,46.169333,86.243333,74.724680,0,1
49,33,11,1,1,44.892630,46.169333,86.243333,79.892630,0,1
50,20,6,3,3,47.178231,47.502000,81.844667,79.178231,0,1
51,36,12,1,1,47.213633,47.502000,87.464667,94.213633,0,0
52,36,12,1,1,47.555850,47.610000,87.574667,95.555850,0,0
53,22,7,2,2,48.572128,49.107556,69.245556,93.572128,0,0
54,22,7,2,2,49.281704,49.437556,69.465556,98.281704,0,0
55,25,8,2,2,49.706691,50.949333,71.094667,75.706691,0,0
56,25,8,2,2,49.992661,50.949333,71.094667,86.992661,0,0
57,23,7,3,3,50.252235,50.949333,91.115333,94.252235,0,0
58,28,9,2,2,50.271366,50.949333,71.094667,91.271366,0,0
59,23,7,3,3,51.486085,51.565333,91.370667,85.486085,0,1
60,28,9,2,2,51.765373,52.002667,71.679333,77.765373,0,0
61,39,13,1,1,52.849410,53.064000,90.931333,88.849410,0,1
62,26,8,3,3,54.356039,54.845333,61.515111,81.356039,0,0
63,29,9,3,3,55.217486,55.356000,62.025556,82.217486,0,0
64,31,10,2,2,55.919061,56.010667,95.534000,92.919061,0,1
65,31,10,2,2,56.361269,56.607556,96.218000,88.361269,0,1
66,133,44,2,2,56.888098,57.870000,64.648667,102.888098,0,0
67,39,13,1,1,57.046596,58.201333,94.701333,90.046596,0,1
68,34,11,2,2,57.245802,58.201333,76.394000,88.245802,0,0
69,32,10,3,3,59.264634,59.428667,66.098222,97.264634,0,0
70,42,14,1,1,60.508172,60.700444,70.776889,89.508172,0,0
71,34,11,2,2,60.797183,61.158222,78.899333,95.797183,0,0
72,153,51,1,1,63.598377,63.870222,70.556889,106.598377,0,0
73,37,12,2,2,64.115733,64.538667,71.314667,94.115733,0,0
74,145,48,2,2,66.839513,68.200444,108.364667,104.839513,0,1
75,145,48,2,2,66.910439,68.200444,108.364667,105.910439,0,1
76,35,11,3,3,68.581872,68.760000,88.772000,95.581872,0,0
77,156,52,1,1,69.820964,70.091333,90.105333,113.820964,0,0
78,154,51,2,2,71.014182,71.204667,91.314000,107.014182,0,0
79,160,53,2,2,76.584222,77.058667,117.214667,108.584222,0,1
80,160,53,2,2,76.849629,77.058667,117.214667,105.849629,0,1
81,152,50,3,3,77.601996,77.950667,118.003333,118.601996,0,0
82,152,50,3,3,77.623432,77.950667,118.003333,114.623432,0,1
83,155,51,3,3,80.357084,81.844667,120.080667,129.357084,0,0
84,159,53,1,1,84.763135,85.333333,95.452667,119.763135,0,0
85,163,54,2,2,85.027887,85.333333,125.391333,120.027887,0,1
86,163,54,2,2,85.259802,85.893333,125.782000,118.259802,0,1
87,155,51,3,3,86.832228,87.354667,123.850000,112.832228,0,1
88,166,55,2,2,87.616091,87.816000,107.867333,132.616091,0,0
89,165,55,1,1,87.715978,87.956000,94.701333,135.715978,0,0
90,168,56,1,1,88.123758,88.882000,95.562667,130.123758,0,0
91,158,52,3,3,88.640390,88.882000,107.761333,129.640390,0,0
92,171,57,1,1,89.708139,90.122667,96.794667,128.708139,0,0
93,158,52,3,3,90.460244,90.821333,109.408667,128.460244,0,0
94,166,55,2,2,90.593459,90.821333,109.462667,120.593459,0,0
95,174,58,1,1,91.982228,92.833333,110.562667,124.982228,0,0
96,174,58,1,1,95.101901,95.232667,113.014667,134.101901,0,0
97,40,13,2,2,98.378197,100.893333,141.072667,136.378197,0,1
98,38,12,3,3,99.745088,100.893333,135.078000,142.745088,0,0
99,45,15,1,1,100.358357,102.354667,122.000000,143.358357,0,0
100,45,15,1,1,100.928980,102.732667,122.488000,137.928980,0,0
101,40,13,2,2,100.972640,102.732667,142.051333,149.972640,0,0
102,43,14,2,2,103.170110,106.804000,124.386667,141.170110,0,0
103,38,12,3,3,103.572379,106.804000,141.076000,133.572379,0,1
104,48,16,1,1,104.680263,106.804000,126.943333,139.680263,0,0
105,48,16,1,1,107.549783,107.653333,127.371333,149.549783,0,0
106,51,17,1,1,108.163519,108.364667,115.146000,134.163519,0,0
107,43,14,2,2,109.324341,109.408667,127.002000,152.324341,0,0
108,46,15,2,2,109.334687,109.408667,149.398000,157.334687,0,0
109,54,18,1,1,111.303905,112.672667,126.130444,144.303905,0,0
110,54,18,1,1,111.549918,112.672667,126.130444,147.549918,0,0
111,57,19,1,1,111.770207,112.672667,119.366889,140.770207,0,0
112,46,15,2,2,112.268321,112.904667,151.306000,149.268321,0,1
113,49,16,2,2,117.726648,117.893333,124.606667,149.726648,0,0
114,52,17,2,2,122.496254,122.893333,129.674444,164.496254,0,0
115,55,18,2,2,122.791945,122.936000,142.051333,171.791945,0,0
116,55,18,2,2,123.899330,123.960000,143.021333,155.899330,0,0
117,60,20,1,1,124.207830,124.277333,130.947778,151.207830,0,0
118,41,13,3,3,124.503091,124.716667,131.383778,165.503091,0,0
119,44,14,3,3,124.946109,125.422222,139.389333,151.946109,0,0
120,58,19,2,2,126.601155,126.892000,133.671556,168.601155,0,0
121,61,20,2,2,127.470768,127.893333,134.673556,155.470768,0,0
122,64,21,2,2,128.576024,128.893333,166.502000,154.576024,0,1
123,64,21,2,2,131.391893,131.493778,169.032000,170.391893,0,0
124,67,22,2,2,131.722105,132.668889,171.842667,166.722105,0,1
125,44,14,3,3,132.540262,132.775556,146.086667,173.540262,0,0
126,63,21,1,1,132.862597,132.892000,173.046667,173.862597,0,0
127,67,22,2,2,133.395268,133.561556,172.732667,173.395268,0,0
128,63,21,1,1,135.010879,135.078000,174.089333,170.010879,0,1
129,70,23,2,2,135.859529,139.279333,152.629333,175.859529,0,0
130,70,23,2,2,136.157321,139.279333,152.629333,175.157321,0,0
131,66,22,1,1,136.724057,139.279333,179.392667,171.724057,0,1
132,47,15,3,3,138.043855,139.279333,177.526000,186.043855,0,0
133,47,15,3,3,141.975099,142.161333,179.976000,170.975099,0,1
134,73,24,2,2,144.737587,146.086667,152.849333,176.737587,0,0
135,66,22,1,1,145.319630,146.086667,182.888667,189.319630,0,0
136,69,23,1,1,145.510394,146.086667,164.315333,190.510394,0,0
137,50,16,3,3,146.498786,147.892000,187.938667,171.498786,0,1
138,50,16,3,3,148.428966,148.656000,188.383333,189.428966,0,0
139,69,23,1,1,148.431349,148.656000,166.536667,193.431349,0,0
140,72,24,1,1,148.745326,148.829333,187.779333,197.745326,0,0
141,72,24,1,1,149.681555,150.686667,189.390000,195.681555,0,0
142,75,25,1,1,150.161934,151.086667,157.865111,195.161934,0,0
143,53,17,3,3,151.750677,152.416889,159.194444,176.750677,0,0
144,78,26,1,1,154.992676,156.086667,175.142000,195.992676,0,0
145,78,26,1,1,156.843675,157.166667,176.168000,196.843675,0,0
146,76,25,2,2,159.026262,159.084889,199.255778,197.026262,0,1
147,176,58,3,3,159.083999,159.084889,165.766889,207.083999,0,0
148,56,18,3,3,161.253983,163.316000,201.706000,199.253983,0,1
149,76,25,2,2,162.652839,163.316000,201.324000,193.652839,0,1
150,179,59,3,3,162.809841,163.316000,183.358000,204.809841,0,0
151,81,27,1,1,163.194213,163.586667,183.618667,188.194213,0,0
152,56,18,3,3,164.876422,165.096444,203.433333,194.876422,0,1
153,210,70,1,1,166.221166,166.426667,173.156667,207.221166,0,0
154,182,60,3,3,167.888467,168.613333,175.280444,206.888467,0,0
155,211,70,2,2,169.553938,171.698667,191.830667,203.553938,0,0
156,211,70,2,2,170.338267,171.698667,191.830667,216.338267,0,0
157,185,61,3,3,171.496591,171.842667,191.972667,217.496591,0,0
158,185,61,3,3,171.801401,171.952667,192.082667,201.801401,0,0
159,188,62,3,3,175.182158,175.280444,213.084000,211.182158,0,1
160,214,71,2,2,175.226748,175.280444,182.058000,212.226748,0,0
161,219,73,1,1,176.663690,177.024000,187.046000,216.663690,0,0
162,217,72,2,2,176.959321,177.189333,217.372000,213.959321,0,1
163,217,72,2,2,177.102625,177.299333,217.482000,218.102625,0,0
164,188,62,3,3,177.438328,177.636000,215.507333,217.438328,0,0
165,220,73,2,2,177.843391,178.586667,185.307556,212.843391,0,0
166,191,63,3,3,178.049058,178.586667,213.773333,215.049058,0,0
167,223,74,2,2,179.388649,179.452667,186.123111,211.388649,0,0
168,226,75,2,2,182.584216,182.888667,189.668222,222.584216,0,0
169,191,63,3,3,183.546627,183.618667,218.816667,225.546627,0,0
170,194,64,3,3,184.229276,184.524000,201.596000,226.229276,0,0
171,194,64,3,3,187.669226,187.779333,204.808667,234.669226,0,0
172,231,77,1,1,187.678483,187.888667,194.610889,215.678483,0,0
173,234,78,1,1,188.395478,188.669333,207.899333,227.395478,0,0
174,234,78,1,1,191.572329,191.616000,209.864667,239.572329,0,0
175,197,65,3,3,191.757901,191.862667,198.641556,219.757901,0,0
176,200,66,3,3,192.348509,192.888667,229.027333,239.348509,0,0
177,229,76,2,2,192.950855,193.668444,200.336889,235.950855,0,0
178,237,79,1,1,194.257319,194.557778,213.026000,231.257319,0,0
179,237,79,1,1,194.734385,196.169333,214.716000,222.734385,0,0
180,200,66,3,3,195.288436,196.862667,232.982667,222.288436,0,1
181,240,80,1,1,198.138655,198.251556,218.386667,241.138655,0,0
182,232,77,2,2,198.535672,198.641556,218.777333,231.535672,0,0
183,235,78,2,2,199.603201,200.336889,210.338667,238.603201,0,0
184,79,26,2,2,200.945648,201.434000,211.997333,229.945648,0,0
185,59,19,3,3,201.282979,201.434000,208.214000,250.282979,0,0
186,62,20,3,3,201.552871,201.706000,237.064667,247.552871,0,0
187,84,28,1,1,202.960469,203.543333,222.790000,242.960469,0,0
188,84,28,1,1,204.534294,204.698667,223.869333,240.534294,0,0
189,62,20,3,3,205.891039,207.010667,242.159333,247.891039,0,0
190,65,21,3,3,208.943155,209.500667,222.927778,242.943155,0,0
191,65,21,3,3,209.158876,209.500667,222.927778,258.158876,0,0
192,87,29,1,1,209.439748,209.754667,216.535778,240.439748,0,0
193,68,22,3,3,209.527910,209.864667,247.035333,241.527910,0,1
194,90,30,1,1,210.371090,210.986667,230.980667,251.371090,0,0
195,79,26,2,2,210.618058,211.043333,221.526000,257.618058,0,0
196,90,30,1,1,211.078758,211.546000,231.310667,244.078758,0,0
197,68,22,3,3,212.765566,212.916000,250.009333,240.765566,0,1
198,93,31,1,1,213.805333,214.354000,234.312667,241.805333,0,0
199,93,31,1,1,214.070283,214.469333,234.422667,239.070283,0,0
200,71,23,3,3,217.444532,217.592000,224.333556,266.444532,0,0
201,96,32,1,1,218.701711,218.777333,258.704667,264.701711,0,0
202,96,32,1,1,219.014026,220.637333,259.825333,268.014026,0,0
203,82,27,2,2,219.691239,220.888000,234.241556,263.691239,0,0
204,82,27,2,2,219.740531,220.888000,234.241556,255.740531,0,0
205,74,24,3,3,219.812329,220.888000,240.911556,261.812329,0,0
206,74,24,3,3,220.231140,220.888000,240.911556,261.231140,0,0
207,99,33,1,1,221.275586,221.636000,261.464667,256.275586,0,1
208,99,33,1,1,221.951246,221.969333,261.765333,257.951246,0,1
209,102,34,1,1,222.348126,222.592000,241.294667,249.348126,0,0
210,85,28,2,2,222.354936,222.592000,242.664667,258.354936,0,0
211,85,28,2,2,222.981960,223.759333,243.330667,263.981960,0,0
212,102,34,1,1,223.766529,223.979333,242.735333,270.766529,0,0
213,88,29,2,2,223.869048,223.979333,244.000000,251.869048,0,0
214,77,25,3,3,224.262270,224.443556,231.222889,265.262270,0,0
