Tick,Power,Failed
15,100.771783,0
20,100.771783,0
25,102.958501,0
27,104.802205,0
29,104.802205,0
30,104.985963,0
31,104.985963,0
32,104.985963,0
33,105.243224,0
35,104.857332,0
37,104.882668,0
38,104.929833,0
39,104.916970,0
40,104.963475,0
41,102.701463,7
42,102.497713,7
46,102.410160,7
47,102.362917,7
48,102.167176,7
49,102.106341,7
50,102.032143,7
51,102.007049,7
52,101.951229,7
53,101.913919,7
54,101.871562,7
55,101.839065,7
56,101.813991,8
57,101.762762,8
58,101.776516,8
59,101.756008,8
60,101.721559,12
61,101.283434,14
62,100.905268,15
63,100.757173,15
64,100.716729,15
65,100.688563,15
66,100.673526,15
68,100.665546,15
69,100.624787,15
70,100.586205,15
71,100.543242,15
73,100.517098,15
75,100.518498,15
76,100.499534,15
77,100.482364,15
78,100.474946,17
79,100.464054,17
81,100.461314,17
83,100.456805,18
85,100.450732,18
86,100.448326,18
87,100.437572,20
88,100.422504,20
89,100.433423,20
90,100.428683,20
91,100.429286,21
92,100.414106,22
93,100.412159,22
94,100.407180,22
95,100.400345,23
96,100.381585,24
98,100.364994,25
100,100.361763,25
102,100.372931,25
106,100.374442,25
107,100.375774,25
108,100.360904,25
109,100.353682,27
110,100.355630,27
112,100.348204,27
113,100.357089,27
114,100.352540,27
115,100.349405,27
116,100.343947,27
117,100.338561,27
118,100.329509,30
119,100.325586,30
120,100.319987,30
121,100.318165,30
122,100.316381,30
123,100.324678,30
124,100.316699,31
125,100.312373,32
126,100.311662,33
127,100.310159,33
128,100.309600,33
129,100.308022,33
130,100.315821,33
131,100.310986,33
132,100.307168,33
133,100.305868,33
134,100.301766,33
135,100.298245,33
139,100.296005,33
140,100.299635,33
141,100.294468,34
142,100.290798,35
143,100.289009,35
144,100.287206,35
145,100.286578,35
146,100.285961,35
147,100.288285,35
148,100.293090,35
149,100.290887,35
150,100.289550,35
151,100.288543,35
152,100.286566,36
153,100.287886,36
154,100.293598,36
155,100.292854,36
156,100.292121,36
157,100.291501,36
158,100.289043,36
159,100.287305,36
161,100.290540,36
162,100.289962,36
163,100.289277,36
164,100.290228,36
165,100.286076,36
166,100.282394,36
168,100.282858,37
169,100.281919,37
171,100.280861,37
172,100.281346,38
173,100.278187,38
174,100.283386,38
175,100.280676,39
176,100.279063,39
177,100.276972,39
178,100.278378,39
179,100.279346,39
180,100.279269,41
181,100.281962,41
182,100.280691,41
183,100.277404,41
184,100.278196,41
185,100.276482,41
186,100.274449,41
187,100.271734,41
188,100.273506,42
189,100.272396,42
190,100.269537,42
191,100.268328,42
192,100.269475,42
193,100.267953,42
194,100.266711,42
195,100.267259,42
196,100.266849,42
197,100.266075,42
198,100.268432,42
199,100.267140,42
200,100.265323,43
201,100.268849,44
202,100.271823,45
203,100.270753,46
204,100.271239,46
206,100.269003,46
207,100.268615,46
208,100.266804,46
209,100.265021,46
210,100.266148,46
211,100.267014,46
212,100.269039,46
213,100.266204,46
214,100.263144,47
215,100.262686,47
216,100.261035,47
217,100.259061,47
218,100.259917,48
219,100.256972,48
220,100.256663,48
221,100.258640,48
222,100.260304,48
223,100.258923,48
224,100.257682,48
225,100.262822,48
227,100.262507,48
228,100.262193,48
229,100.260968,48
230,100.266614,48
231,100.269069,48
232,100.266396,48
233,100.268120,49
234,100.268288,49
235,100.266245,49
236,100.265090,49
237,100.268338,49
238,100.266075,49
239,100.265503,49
240,100.264381,49
241,100.261552,49
242,100.259646,49
243,100.259801,49
244,100.258447,49
246,100.256561,49
247,100.255453,50
248,100.259934,50
249,100.261839,50
250,100.261571,51
251,100.263031,51
252,100.264499,51
253,100.262216,51
254,100.262130,51
255,100.260406,51
256,100.259158,51
257,100.260750,51
258,100.263755,51
259,100.262066,51
260,100.262591,51
261,100.263352,51
262,100.264611,53
263,100.263141,53
264,100.262158,53
265,100.261180,53
266,100.262400,53
267,100.260708,53
268,100.261746,53
269,100.261473,54
270,100.260746,54
271,100.260515,54
272,100.263021,56
273,100.261645,56
274,100.259822,56
275,100.260026,57
276,100.260608,57
277,100.262388,57
278,100.261250,57
279,100.259293,58
280,100.259052,58
281,100.258102,58
282,100.258324,58
284,100.256782,59
285,100.257227,59
286,100.256341,59
287,100.255047,59
288,100.254688,59
289,100.253799,59
290,100.253342,59
