Host ID,Datacenter ID,CPU Usage Mean,Power Consumption Mean
0,1,3.975354,112.272436
1,1,3.132911,109.671705
2,1,0.451060,101.452353
3,1,1.218583,103.761925
4,1,0.722679,102.231005
5,1,0.493869,101.524638
6,1,0.077807,100.240200
7,1,0.015366,100.047436
8,1,0.005029,100.015526
9,1,0.005031,100.015532
10,1,0.005046,100.015579
11,1,0.005055,100.015604
12,1,0.030012,100.092651
13,1,0.020137,100.062165
14,1,0.010231,100.032932
15,1,0.060496,100.186759
16,1,0.010299,100.032018
17,1,0.020276,100.062594
18,1,0.020182,100.062303
19,1,0.020129,100.062140
20,1,0.010030,100.030964
21,1,0.005044,100.015573
22,1,0.010014,100.030915
23,1,0.005047,100.015582
24,1,0.005051,100.015592
25,1,0.010028,100.030958
26,1,0.005045,100.015576
27,1,0.015048,100.046456
28,1,0.014979,100.046242
29,1,0.020153,100.062215
30,1,0.015012,100.046344
31,1,0.010167,100.031386
32,1,0.045226,100.139619
33,1,0.010200,100.031692
34,1,0.030030,100.092707
35,1,0.030102,100.092930
36,1,0.030133,100.093023
37,1,0.010221,100.031553
38,1,0.005018,100.015491
39,1,0.030066,100.092818
40,1,0.721682,102.227926
41,1,0.227494,101.023299
42,1,0.893483,102.758298
43,1,0.763712,102.357679
44,1,0.484086,101.494438
45,1,0.255048,100.787366
46,1,0.083490,100.257744
47,1,0.014955,100.046168
48,1,0.005032,100.015535
49,1,0.010081,100.031120
50,1,0.005041,100.015563
51,1,0.010022,100.030939
52,1,0.005064,100.016299
53,1,0.010058,100.031051
54,1,0.015012,100.046344
55,1,0.015006,100.046325
56,1,0.010028,100.030958
57,1,0.005014,100.015479
58,1,0.015015,100.046353
59,1,0.014964,100.046196
60,1,0.010024,100.030946
61,1,0.010006,100.030890
62,1,0.010054,100.031039
63,1,0.015006,100.046325
64,1,0.015006,100.046325
65,1,0.015012,100.046344
66,1,0.005046,100.015579
67,1,0.005044,100.015573
68,1,0.014976,100.046233
69,1,0.014985,100.046261
70,1,0.020333,100.065452
71,1,0.045208,100.145521
72,1,0.010181,100.032772
73,1,0.030024,100.096645
74,1,0.020247,100.065173
75,1,0.010058,100.032377
76,1,0.005055,100.018054
77,1,0.014994,100.048264
78,1,0.015039,100.048410
79,1,0.005056,100.016274
80,1,0.010010,100.032221
81,1,0.005040,100.016224
82,1,0.015000,100.048284
83,1,0.005042,100.016915
84,1,0.014958,100.050179
85,1,0.005039,100.016905
86,1,0.005035,100.016891
87,1,0.014961,100.050189
88,1,0.014985,100.050269
89,1,0.015003,100.050329
90,1,0.015021,100.050390
91,1,0.010006,100.033566
92,1,0.014961,100.050189
93,1,0.005051,100.016942
94,1,0.010048,100.033708
95,1,0.014994,100.050299
96,1,0.014994,100.050299
97,1,0.010012,100.033586
98,1,0.005016,100.016827
99,1,0.005021,100.016844
0,2,1.759777,105.432659
1,2,3.154574,109.738581
2,2,0.972053,103.000855
3,2,1.068786,103.299481
4,2,0.717982,102.216503
5,2,0.301490,100.930738
6,2,0.079509,100.245456
7,2,0.005384,100.016622
8,2,0.010700,100.033032
9,2,0.010903,100.036577
10,2,0.005390,100.016640
11,2,0.010934,100.033754
12,2,0.010943,100.033783
13,2,0.016039,100.049516
14,2,0.005422,100.016738
15,2,0.016077,100.049632
16,2,0.011069,100.034513
17,2,0.081274,100.250905
18,2,0.011096,100.035716
19,2,0.065132,100.201072
20,2,0.021825,100.067375
21,2,0.011001,100.033962
22,2,0.010776,100.033266
23,2,0.021683,100.066937
24,2,0.032335,100.099821
25,2,0.011091,100.035699
26,2,0.011089,100.035379
27,2,0.021697,100.066980
28,2,0.011082,100.034210
29,2,0.010960,100.033835
30,2,0.016122,100.049771
31,2,0.016084,100.049654
32,2,0.021701,100.066995
33,2,0.032272,100.099628
34,2,0.021796,100.067287
35,2,0.016050,100.049547
36,2,0.016063,100.049590
37,2,0.010896,100.033636
38,2,0.011006,100.035434
39,2,0.064627,100.199513
40,2,0.209888,100.877821
41,2,0.186456,100.792375
42,2,0.200617,100.797262
43,2,0.194995,100.866189
44,2,0.042199,100.131626
45,2,0.178167,100.630967
46,2,0.096472,100.344513
47,2,0.091638,100.282899
48,2,0.056129,100.173279
49,2,0.032823,100.101328
50,2,0.010946,100.033791
51,2,0.010734,100.033138
52,2,0.016063,100.049590
53,2,0.016074,100.049622
54,2,0.016074,100.049622
55,2,0.016060,100.049579
56,2,0.016060,100.049579
57,2,0.016091,100.049675
58,2,0.016098,100.049696
59,2,0.016105,100.049718
60,2,0.005387,100.016630
61,2,0.010720,100.033095
62,2,0.005405,100.016687
63,2,0.016070,100.049611
64,2,0.005393,100.016648
65,2,0.005404,100.016684
66,2,0.010718,100.033088
67,2,0.016091,100.049675
68,2,0.010762,100.033224
69,2,0.005389,100.016637
70,2,0.005395,100.017366
71,2,0.032823,100.105654
72,2,0.032801,100.105584
73,2,0.010891,100.035057
74,2,0.032258,100.103836
75,2,0.011074,100.049665
76,2,0.010771,100.034672
77,2,0.010730,100.034538
78,2,0.016070,100.051729
79,2,0.010764,100.034649
80,2,0.010760,100.034634
81,2,0.016067,100.051718
82,2,0.005409,100.017411
83,2,0.016074,100.053921
84,2,0.016057,100.053863
85,2,0.016053,100.053852
86,2,0.005414,100.018160
87,2,0.010730,100.035994
88,2,0.010737,100.036017
89,2,0.010746,100.036048
90,2,0.010792,100.036203
91,2,0.016084,100.053956
92,2,0.016077,100.053933
93,2,0.005416,100.018168
94,2,0.010725,100.035978
95,2,0.016036,100.053794
96,2,0.010767,100.036118
97,2,0.010792,100.036203
98,2,0.005442,100.047546
99,2,0.010767,100.036118
0,3,1.494024,104.612246
1,3,2.423225,107.480809
2,3,0.889938,102.747355
3,3,0.442739,101.366793
4,3,0.359195,101.108883
5,3,0.072103,100.251916
6,3,0.035877,100.113442
7,3,0.033289,100.102767
8,3,0.011369,100.035097
9,3,0.005602,100.017293
10,3,0.005613,100.017328
11,3,0.022401,100.069156
12,3,0.005652,100.017449
13,3,0.011492,100.036023
14,3,0.016637,100.051361
15,3,0.022589,100.069734
16,3,0.022523,100.069530
17,3,0.033289,100.102767
18,3,0.022396,100.069141
19,3,0.011348,100.035033
20,3,0.011106,100.034286
21,3,0.016597,100.051236
22,3,0.005583,100.017235
23,3,0.066607,100.205626
24,3,0.011328,100.034970
25,3,0.011384,100.036656
26,3,0.022321,100.068909
27,3,0.011395,100.035177
28,3,0.022477,100.069389
29,3,0.011489,100.035826
30,3,0.022297,100.068832
31,3,0.011111,100.034301
32,3,0.011119,100.034324
33,3,0.016608,100.051270
34,3,0.022396,100.069141
35,3,0.022386,100.069110
36,3,0.011335,100.036129
37,3,0.033769,100.104248
38,3,0.011416,100.035241
39,3,0.033319,100.102859
40,3,0.237092,101.009540
41,3,0.437236,101.349803
42,3,0.330338,101.019797
43,3,0.124560,100.403322
44,3,0.097330,100.325882
45,3,0.207278,100.639893
46,3,0.035520,100.113616
47,3,0.022282,100.068786
48,3,0.005633,100.017390
49,3,0.005636,100.017398
50,3,0.016575,100.051168
51,3,0.011131,100.034363
52,3,0.005589,100.017254
53,3,0.011106,100.034286
54,3,0.011099,100.034263
55,3,0.016604,100.051259
56,3,0.011133,100.034370
57,3,0.011086,100.034225
58,3,0.016656,100.051418
59,3,0.011094,100.034248
60,3,0.016659,100.051429
61,3,0.005615,100.017336
62,3,0.011153,100.034432
63,3,0.011163,100.034462
64,3,0.016600,100.051247
65,3,0.016600,100.051247
66,3,0.011082,100.034210
67,3,0.011106,100.034286
68,3,0.011121,100.034332
69,3,0.011116,100.034317
70,3,0.011343,100.036512
71,3,0.084270,100.271257
72,3,0.067159,100.216180
73,3,0.022665,100.072958
74,3,0.011366,100.036587
75,3,0.011358,100.036562
76,3,0.011492,100.036991
77,3,0.005631,100.018125
78,3,0.016637,100.053553
79,3,0.011163,100.035933
80,3,0.011151,100.035893
81,3,0.005577,100.017951
82,3,0.011168,100.035949
83,3,0.011096,100.037224
84,3,0.005629,100.018884
85,3,0.016608,100.055712
86,3,0.005608,100.018812
87,3,0.016626,100.055774
88,3,0.016619,100.055749
89,3,0.005598,100.018779
90,3,0.011178,100.037498
91,3,0.011153,100.037415
92,3,0.011123,100.037315
93,3,0.005597,100.018774
94,3,0.011123,100.037315
95,3,0.005559,100.018649
96,3,0.005622,100.018859
97,3,0.005628,100.018880
98,3,0.005640,100.018918
99,3,0.005636,100.018906
