Tick,Power,Failed
7,101.543565,0
9,101.543565,0
10,102.315348,0
12,106.174260,0
13,106.174260,0
14,106.174260,0
15,105.691896,0
16,105.616096,0
17,104.871877,0
19,104.668407,0
20,104.602254,0
21,104.038118,0
22,103.932875,0
23,102.612158,0
24,102.200770,0
26,101.987490,0
27,101.782364,0
28,101.520356,0
29,101.543856,0
30,101.484853,0
31,101.432802,0
32,101.410962,0
33,101.387015,0
34,101.379847,0
35,101.621249,0
36,101.621249,0
37,101.621249,0
38,101.655862,0
39,101.583346,0
40,101.571114,0
41,101.555427,0
42,101.540268,0
43,101.421615,0
45,101.054099,0
47,101.018985,0
48,100.998300,0
49,100.961779,0
50,100.797047,2
52,100.790423,2
53,100.737247,2
54,100.726635,2
55,100.656639,2
56,100.615903,4
57,100.524919,4
58,100.494154,4
61,100.492323,4
63,100.484611,4
64,100.494493,4
65,100.477568,4
66,100.476282,4
67,100.459403,6
68,100.439668,7
69,100.423461,7
70,100.411923,7
71,100.395785,7
72,100.410121,7
73,100.408253,7
74,100.401447,7
76,100.393478,8
77,100.383618,8
78,100.393774,8
79,100.390786,8
80,100.371540,10
81,100.372323,10
82,100.373212,10
83,100.356274,10
84,100.348244,10
86,100.329808,10
87,100.328664,10
88,100.323135,10
90,100.316964,10
91,100.320893,10
94,100.325721,10
95,100.324585,10
96,100.326476,10
97,100.325559,10
98,100.321552,10
99,100.316572,10
100,100.327389,10
101,100.343873,10
102,100.342302,10
103,100.347624,10
104,100.336538,14
105,100.331786,14
106,100.327019,14
107,100.325527,14
108,100.323381,14
109,100.319956,14
113,100.327386,14
114,100.326382,14
115,100.333420,14
116,100.326442,14
117,100.324370,14
118,100.322782,14
119,100.322105,14
121,100.324448,14
122,100.325711,14
123,100.325055,14
124,100.330759,14
125,100.329909,14
126,100.328256,14
127,100.323816,14
129,100.328329,14
130,100.324052,14
132,100.324638,14
133,100.322919,14
134,100.324612,14
135,100.320665,14
136,100.319164,14
137,100.326619,14
138,100.325553,14
139,100.322550,14
140,100.330246,14
141,100.322129,14
142,100.309124,16
143,100.310776,16
144,100.312013,16
145,100.306647,16
146,100.299228,16
147,100.298610,16
148,100.296203,16
149,100.292705,16
150,100.291470,16
151,100.289820,16
152,100.289962,16
153,100.287535,17
154,100.288178,18
155,100.290646,19
157,100.287627,21
158,100.282937,21
159,100.280595,22
160,100.277638,22
161,100.276197,22
162,100.275210,22
163,100.282850,23
164,100.280865,23
165,100.277759,23
166,100.276437,23
167,100.275887,23
168,100.278595,23
169,100.278014,23
170,100.273137,23
171,100.270950,23
172,100.266075,23
173,100.261460,23
174,100.262926,25
175,100.262498,25
176,100.264945,25
177,100.264489,26
178,100.261844,27
179,100.262714,27
180,100.260594,27
181,100.259222,27
182,100.258195,27
183,100.259320,27
